City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Waingapu,ID,2020-06-15 13:47:50,-9.66,120.26,76.51,81,95,10.16
220,Mampong,GH,2020-06-15 13:56:04,7.06,-1.4,85.51,64,77,3.65
221,Mahebourg,MU,2020-06-15 13:47:39,-20.41,57.7,73.4,73,40,12.75
222,Aguas Formosas,BR,2020-06-15 13:56:04,-17.08,-40.94,72.36,79,94,6.89
223,Goderich,CA,2020-06-15 13:46:42,43.75,-81.72,66.99,51,0,10.54
224,Matara,LK,2020-06-15 13:47:28,5.95,80.54,81.79,83,1,8.99
225,Abong Mbang,CM,2020-06-15 13:56:05,3.98,13.18,84.97,58,54,1.92
226,Tombouctou,ML,2020-06-15 13:56:05,20.0,-3.0,115.14,6,0,20.58
227,Kankon,IN,2020-06-15 13:56:05,15.02,74.02,84.2,89,75,5.82
228,Kendari,ID,2020-06-15 13:54:32,-3.94,122.5,75.16,93,97,2.84
229,Makakilo City,US,2020-06-15 13:56:05,21.35,-158.09,75.2,83,75,5.82
230,Fortuna,US,2020-06-15 13:47:37,40.6,-124.16,57.99,100,90,3.36
231,Padang,ID,2020-06-15 13:51:10,-0.95,100.35,80.71,78,100,2.17
232,Abu Dhabi,AE,2020-06-15 13:56:06,24.47,54.37,102.2,37,73,11.41
233,Billings,US,2020-06-15 13:52:30,45.78,-108.5,52.0,61,75,5.82
234,Fare,PF,2020-06-15 13:56:07,-16.7,-151.02,80.87,79,58,14.83
235,Luleburgaz,TR,2020-06-15 13:56:07,41.4,27.36,69.8,88,40,3.36
236,Maputo,MZ,2020-06-15 13:53:25,-25.97,32.59,73.4,46,20,6.93
237,Port Shepstone,ZA,2020-06-15 13:56:07,-30.74,30.45,65.86,48,0,13.09
238,Jutai,BR,2020-06-15 13:56:08,-5.18,-68.9,79.18,81,79,4.56
239,Batu,ID,2020-06-15 13:56:08,-7.87,112.53,68.94,96,69,0.74
240,Mumford,GH,2020-06-15 13:56:08,5.26,-0.76,79.5,83,100,9.55
241,Grand Gaube,MU,2020-06-15 13:47:54,-20.01,57.66,73.0,71,0,5.99
242,Ruteng,ID,2020-06-15 13:56:08,-8.61,120.47,62.24,100,39,2.44
243,Esperance,AU,2020-06-15 13:47:36,-33.87,121.9,50.0,87,75,6.93
244,Nyurba,RU,2020-06-15 13:56:08,63.28,118.33,62.47,74,91,5.12
